source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
MarsIB-itemset2-tf3,0,matrix-reasoning-instruct2,tf3_1_M_ss1,tf3_1_T1_ss1_md,practice,"tf3_1_T4_ss1_md,tf3_1_T2_ss1_md,tf3_1_T3_ss1_md",0.25,practice_response,tf3_1_M_ss1,,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,1,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_2_M_ss2,tf3_2_T1_ss2_md,Matrix Reasoning,"tf3_2_T4_ss2_md,tf3_2_T2_ss2_md,tf3_2_T3_ss2_md",0.25,test_response,tf3_2_M_ss2,,Choose the best pattern to fill in the blank.,2,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat2,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_3_M_ss3,tf3_3_T1_ss3_md,Matrix Reasoning,"tf3_3_T4_ss3_md,tf3_3_T2_ss3_md,tf3_3_T3_ss3_md",0.25,test_response,tf3_3_M_ss3,,Choose the best pattern to fill in the blank.,3,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat3,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_4_M_ss1,tf3_4_T1_ss1_pd,Matrix Reasoning,"tf3_4_T2_ss1_md,tf3_4_T4_ss1_md,tf3_4_T3_ss1_md",0.25,test_response,tf3_4_M_ss1,,Choose the best pattern to fill in the blank.,4,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat4,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_5_M_ss2,tf3_5_T1_ss2_md,Matrix Reasoning,"tf3_5_T4_ss2_md,tf3_5_T2_ss2_md,tf3_5_T3_ss2_md",0.25,test_response,tf3_5_M_ss2,,Choose the best pattern to fill in the blank.,5,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat5,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_6_M_ss3,tf3_6_T1_ss3_pd,Matrix Reasoning,"tf3_6_T2_ss3_md,tf3_6_T4_ss3_md,tf3_6_T3_ss3_md",0.25,test_response,tf3_6_M_ss3,,Choose the best pattern to fill in the blank.,6,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat6,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_7_M_ss1,tf3_7_T1_ss1_pd,Matrix Reasoning,"tf3_7_T4_ss1_md,tf3_7_T2_ss1_md,tf3_7_T3_ss1_md",0.25,test_response,tf3_7_M_ss1,,Choose the best pattern to fill in the blank.,7,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat7,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_8_M_ss2,tf3_8_T1_ss2_pd,Matrix Reasoning,"tf3_8_T2_ss2_md,tf3_8_T4_ss2_md,tf3_8_T3_ss2_md",0.25,test_response,tf3_8_M_ss2,,Choose the best pattern to fill in the blank.,8,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat8,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_9_M_ss3,tf3_9_T1_ss3_pd,Matrix Reasoning,"tf3_9_T2_ss3_md,tf3_9_T4_ss3_md,tf3_9_T3_ss3_md",0.25,test_response,tf3_9_M_ss3,,Choose the best pattern to fill in the blank.,9,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat9,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_10_M_ss1,tf3_10_T1_ss1_md,Matrix Reasoning,"tf3_10_T3_ss1_md,tf3_10_T2_ss1_md,tf3_10_T4_ss1_md",0.25,test_response,tf3_10_M_ss1,,Choose the best pattern to fill in the blank.,10,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat10,,,,,,
