source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
HRS2010,1,missing-number-prompt1,"6, 7, _, 9",8,Missing Number,"10,5,11",0.25,practice_response,MD204-A1,-1.836,What number goes in the blank?,1,adult-reasoning,adult-reasoning,adult-reasoning,,,,,,,
HRS2010,1,missing-number-prompt2,"4, 5, 6, _",7,Missing Number,"3,9,8",0.25,practice_response,MD204-A2,-1.836,What number goes here?,1,adult-reasoning,adult-reasoning,adult-reasoning,,,,,,,
HRS2010,1,missing-number-prompt2,"6, _, 4, 3",5,Missing Number,"2,7,9",0.25,test_response,MD205-B1,-1.31,What number goes here?,2,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_6_x_4_3,,,,,,
HRS2010,1,missing-number-prompt2,"5, 4, 3, _",2,Missing Number,"1,6,7",0.25,test_response,MD205-B2,-1.31,What number goes here?,2,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_5_4_3_x,,,,,,
HRS2010,1,missing-number-prompt2,"5, 8, 11, _",14,Missing Number,"9,10,12",0.25,test_response,MD206-C1,-0.461,What number goes here?,3,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_5_8_11_x,,,,,,
HRS2010,1,missing-number-prompt2,"11, _, 15, 17",13,Missing Number,"12,16,10",0.25,test_response,MD206-C2,-0.461,What number goes here?,3,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_11_x_15_17,,,,,,
HRS2010,2,missing-number-prompt2,"8, _, 12, 14",10,Missing Number,"6,11,16",0.25,test_response,MD207-D1,-0.189,What number goes here?,4,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_8_x_12_14,,,,,,
HRS2010,2,missing-number-prompt2,"7, 10, 13, _",16,Missing Number,"18,17,15",0.25,test_response,MD207-D2,-0.189,What number goes here?,4,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_7_19_13_x,,,,,,
HRS2010,2,missing-number-prompt2,"_, 4, 6, 8",2,Missing Number,"0,1,3",0.25,test_response,MD208-E1,-0.298,What number goes here?,5,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_4_6_8,,,,,,
HRS2010,2,missing-number-prompt2,"_, 15, 13, 11",17,Missing Number,"19,16,17",0.25,test_response,MD208-E2,-0.298,What number goes here?,5,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_15_13_11,,,,,,
HRS2010,2,missing-number-prompt2,"1, 3, 3, 5, 7, 7, _",9,Missing Number,"10,5,11",0.25,test_response,MD209-F1,0.107,What number goes here?,6,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_1_3_3_5_7_7_x,,,,,,
HRS2010,2,missing-number-prompt2,"10, 6, 3, _",1,Missing Number,"2,0,3",0.25,test_response,MD209-F2,0.107,What number goes here?,6,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_10_6_3_x,,,,,,
HRS2010,3,missing-number-prompt2,"23, 26, 30, 35, _",41,Missing Number,"40,42,43",0.25,test_response,MD201-G1,0.019,What number goes here?,7,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_23_26_30_35_x,,,,,,
HRS2010,3,missing-number-prompt2,"_, 13, 15, 18, 22",12,Missing Number,"10,11,9",0.25,test_response,MD201-G2,0.019,What number goes here?,7,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_13_15_18_22,,,,,,
HRS2010,3,missing-number-prompt2,"18, 10, 6, _, 3",4,Missing Number,"2,5,1",0.25,test_response,MD202-H1,0.542,What number goes here?,8,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_18_10_6_x_3,,,,,,
HRS2010,3,missing-number-prompt2,"11, 9, 6, _",2,Missing Number,"0,1,3",0.25,test_response,MD202-H2,0.542,What number goes here?,8,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_11_9_6_x,,,,,,
HRS2010,3,missing-number-prompt2,"17, _, 12, 8",15,Missing Number,"16,14,13",0.25,test_response,MD203-I1,1.079,What number goes here?,9,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_17_x_12_8,,,,,,
